ZIP,population,positivity_rate,median_income,no_insurance,car_commute,public_trans,pedestrian_commute,telecommute,office_worker,health_care,public_service,food_service,cleaning_service,pop_density,crowded_housing
60601,14675,0.185185185,103243,0.029972,0.261451,0.178218,0.449679,0.077467,0.810139,0.007382,0.000868,0.00304,0.010421,0.015708291,0.00484966
60605,27519,0.167800454,111164,0.026408,0.346656,0.286901,0.258748,0.068008,0.714412,0.010401,0.014108,0.030927,0.000885,0.008531388,0.02484985
60606,3101,0.166666667,131477,0.023632,0.242353,0.149804,0.431373,0.127451,0.750098,0.012162,0.0357,0.009808,0,0.005442996,0.02451226
60607,29591,0.271863118,93508,0.03399,0.362396,0.267698,0.285297,0.062024,0.701144,0.005382,0.022648,0.028759,0.016706,0.004991751,0.02960289
60608,79205,0.300236407,44043,0.151609,0.559437,0.287764,0.100713,0.03295,0.409088,0.033471,0.020396,0.109536,0.056192,0.004852439,0.0632193
60609,61495,0.332568807,35179,0.156531,0.671268,0.231324,0.063785,0.025547,0.338874,0.035461,0.028845,0.101057,0.068783,0.003067062,0.07988031
60610,39019,0.197080292,86803,0.038046,0.301776,0.36386,0.191573,0.07918,0.705117,0.012628,0.005429,0.038887,0.005198,0.013017263,0.01680455
60611,32426,0.139664804,103522,0.020385,0.264482,0.207737,0.38197,0.076828,0.761555,0.005898,0.007977,0.01755,0.002466,0.015313428,0.01835496
60612,34311,0.238780694,41300,0.082652,0.473753,0.337696,0.097341,0.07075,0.534926,0.052931,0.029782,0.051374,0.031542,0.003533726,0.04759398
60613,50113,0.262560778,82321,0.060222,0.351514,0.482764,0.077503,0.074668,0.655627,0.015182,0.014198,0.043577,0.015097,0.008897851,0.02168915
60614,71308,0.216426193,107461,0.028869,0.370116,0.441566,0.091647,0.067261,0.726105,0.005589,0.006749,0.027396,0.005125,0.008825059,0.00724122
60615,41563,0.190938511,44111,0.069929,0.417856,0.306516,0.194882,0.069177,0.484303,0.026616,0.031634,0.038754,0.025852,0.007253979,0.01538386
60616,54464,0.247409326,45997,0.091519,0.537174,0.265904,0.12671,0.043156,0.550896,0.027304,0.022899,0.101464,0.025885,0.005259884,0.03585743
60617,82534,0.246305419,40265,0.097904,0.699459,0.247851,0.022112,0.025205,0.358929,0.057073,0.052511,0.059752,0.071173,0.00230063,0.03689824
60618,94395,0.261414503,73810,0.140248,0.573671,0.290961,0.056012,0.068173,0.510628,0.015575,0.013886,0.080937,0.032672,0.007293197,0.02971885
60619,61258,0.295081967,33454,0.101698,0.638461,0.280644,0.017053,0.053887,0.388358,0.074721,0.064705,0.051546,0.054145,0.003927919,0.0301679
60620,68096,0.354517611,35890,0.098514,0.669552,0.26466,0.009229,0.041694,0.396955,0.082861,0.057115,0.059124,0.039362,0.003711063,0.02333841
60621,29042,0.326732673,20991,0.126259,0.512167,0.414575,0.024846,0.033043,0.345682,0.087709,0.062561,0.075074,0.067345,0.003007454,0.0421834
60622,52793,0.239856802,93988,0.063135,0.457518,0.344092,0.097471,0.077646,0.608907,0.013408,0.00962,0.057059,0.0115,0.008251333,0.02800847
60623,85979,0.398809524,31634,0.213823,0.685552,0.218752,0.058719,0.031486,0.293095,0.044653,0.0186,0.085204,0.078378,0.006180516,0.11274942
60624,36158,0.321507761,22992,0.120378,0.531102,0.384704,0.022471,0.030765,0.362294,0.100803,0.05157,0.070721,0.04886,0.003949421,0.06396911
60625,79243,0.308779011,64117,0.137415,0.52817,0.329709,0.071038,0.056592,0.466568,0.031851,0.011417,0.082363,0.036696,0.007896586,0.05497822
60626,49730,0.281456954,40591,0.13441,0.412385,0.4115,0.099178,0.059418,0.442474,0.032053,0.018202,0.101527,0.033504,0.011262508,0.06448866
60628,66724,0.296610169,40261,0.088447,0.68019,0.263563,0.015166,0.029016,0.410436,0.071709,0.068736,0.035132,0.044833,0.002359262,0.02647909
60629,111850,0.384255651,42019,0.151034,0.761762,0.180401,0.03698,0.017168,0.300504,0.036032,0.032127,0.091544,0.066539,0.006348957,0.07185513
60630,57344,0.188533627,72092,0.10169,0.740937,0.206349,0.019616,0.026547,0.481714,0.033327,0.039782,0.038971,0.040087,0.004637282,0.03044979
60631,29529,0.131147541,91034,0.021503,0.825697,0.107355,0.019081,0.037766,0.541975,0.015465,0.102079,0.036062,0.008187,0.003063591,0.00586409
60632,91039,0.357009346,42758,0.180299,0.730279,0.208628,0.041259,0.013258,0.304411,0.027855,0.017131,0.102013,0.078473,0.00472917,0.12526122
60633,12871,0.257142857,47083,0.122695,0.839423,0.099119,0.031291,0.020423,0.430845,0.019393,0.060556,0.068057,0.036041,0.00048317,0.02563016
60634,75995,0.193877551,66741,0.113767,0.834355,0.104676,0.023809,0.021827,0.43501,0.038703,0.03829,0.050692,0.069077,0.00412513,0.0356039
60636,32203,0.381601363,27310,0.105795,0.642366,0.278293,0.028702,0.037106,0.347243,0.09389,0.0429,0.073238,0.067383,0.003178208,0.03863919
60637,47454,0.216856061,28785,0.071315,0.416595,0.33769,0.173098,0.057761,0.473026,0.059843,0.046564,0.048767,0.047993,0.004045642,0.03506913
60638,58797,0.220528455,67984,0.086705,0.831466,0.126632,0.023596,0.01361,0.399755,0.024453,0.070004,0.049699,0.057453,0.002044052,0.03282155
60639,90517,0.366314199,44150,0.185561,0.73201,0.180192,0.042848,0.020287,0.332179,0.035223,0.024524,0.081867,0.076673,0.007165216,0.08001728
60640,69715,0.289210234,53831,0.096158,0.393921,0.450625,0.07222,0.066567,0.553672,0.026219,0.008973,0.070966,0.028614,0.011158883,0.04015285
60641,71023,0.255790534,60073,0.157202,0.703483,0.209947,0.028505,0.041595,0.436694,0.029575,0.021422,0.077267,0.05915,0.006784726,0.04296542
60642,20201,0.133802817,101939,0.062373,0.422813,0.383198,0.103123,0.066279,0.687347,0.004091,0.004159,0.044178,0.00525,0.004718377,0.02471421
60643,49870,0.318003914,64477,0.057116,0.712053,0.210979,0.019437,0.050547,0.458123,0.034929,0.075378,0.043828,0.039545,0.002620725,0.00859423
60644,47712,0.349,27262,0.137841,0.554639,0.374039,0.035413,0.020218,0.36396,0.110004,0.055334,0.067355,0.059925,0.00525771,0.05372953
60645,47732,0.349475383,53340,0.123491,0.6515,0.217362,0.071739,0.044526,0.444194,0.041645,0.014616,0.087507,0.041741,0.008163482,0.06880677
60646,27987,0.14159292,89480,0.060506,0.809602,0.117933,0.020939,0.043823,0.516869,0.018694,0.067402,0.013729,0.015116,0.002363627,0.02557138
60647,87509,0.203483043,73443,0.1061,0.500038,0.337791,0.083932,0.06023,0.524537,0.018986,0.014783,0.071778,0.025531,0.008405989,0.03901895
60649,46024,0.248847926,30222,0.095811,0.485262,0.432351,0.025449,0.044913,0.429898,0.084664,0.07024,0.038851,0.035093,0.006066369,0.03269834
60651,63218,0.337748344,38083,0.159765,0.690017,0.223903,0.033041,0.037559,0.359073,0.0739,0.026371,0.093745,0.054826,0.006983206,0.06771488
60652,43907,0.346518987,68425,0.084445,0.827731,0.142125,0.002124,0.019837,0.418588,0.043127,0.071429,0.052461,0.039832,0.00338062,0.03122382
60653,31972,0.255639098,29569,0.061803,0.573562,0.293403,0.044204,0.06386,0.480543,0.063676,0.043415,0.05636,0.022833,0.005292132,0.02620213
60654,19135,0.283636364,112699,0.018918,0.245298,0.14639,0.44875,0.097147,0.784054,0.00119,0.00182,0.014,0.0063,0.01306319,0.01448898
60655,28804,0.200308166,97572,0.027184,0.854966,0.081758,0.022997,0.028217,0.435636,0.014119,0.182244,0.02879,0.023418,0.002524893,0.01915063
60656,27579,0.13755796,61599,0.098517,0.814563,0.131484,0.010472,0.033634,0.461408,0.016676,0.065206,0.049279,0.051457,0.003257917,0.01825524
60657,70052,0.175110132,92295,0.034748,0.324064,0.515307,0.072115,0.068385,0.700862,0.007037,0.009784,0.040659,0.003894,0.011896764,0.01676069
60659,41068,0.35840708,51383,0.13315,0.67947,0.181766,0.081255,0.038357,0.413938,0.040049,0.008629,0.072078,0.055479,0.007820857,0.09082878
60660,43242,0.277777778,49241,0.094701,0.400852,0.428119,0.080625,0.067154,0.505296,0.033417,0.012272,0.079226,0.030499,0.012943463,0.05273255
60661,9926,0.178571429,107245,0.031332,0.214462,0.221323,0.499588,0.040615,0.791215,0.009761,0.005559,0.015727,0.002305,0.012892215,0.05572263
