student_id,grade,ses_level,homework_category,homework_minutes,math_score,reading_score,grade_label,homework_label
1,2,3,1,0,70.1,62.1,2nd Grade,No homework
2,5,3,4,90,80.5,79.2,5th Grade,1-2 hours
3,4,2,2,15,72.9,58.5,4th Grade,Less than 30 min
4,3,2,2,15,52.9,55.0,3rd Grade,Less than 30 min
5,0,2,2,15,51.4,65.5,Kindergarten,Less than 30 min
6,0,2,2,15,15.2,43.7,Kindergarten,Less than 30 min
7,0,3,2,15,54.2,47.5,Kindergarten,Less than 30 min
8,5,1,3,45,68.1,56.5,5th Grade,30-60 minutes
9,3,1,3,45,42.8,60.0,3rd Grade,30-60 minutes
10,4,1,4,90,39.4,50.9,4th Grade,1-2 hours
11,0,2,1,0,45.1,46.0,Kindergarten,No homework
12,5,1,2,15,44.7,49.8,5th Grade,Less than 30 min
13,5,1,4,90,63.4,65.5,5th Grade,1-2 hours
14,1,3,2,15,62.7,,1st Grade,Less than 30 min
15,1,1,3,45,43.9,39.0,1st Grade,30-60 minutes
16,1,3,1,0,52.1,54.9,1st Grade,No homework
17,1,2,2,15,52.1,38.3,1st Grade,Less than 30 min
18,3,2,4,90,59.4,65.1,3rd Grade,1-2 hours
19,2,1,2,15,34.7,52.4,2nd Grade,Less than 30 min
20,1,1,2,15,24.2,37.6,1st Grade,Less than 30 min
21,3,2,1,0,62.3,54.1,3rd Grade,No homework
22,0,2,1,0,56.7,36.5,Kindergarten,No homework
23,1,3,1,0,35.9,68.6,1st Grade,No homework
24,2,3,2,15,57.4,47.1,2nd Grade,Less than 30 min
25,2,2,5,150,68.4,44.6,2nd Grade,More than 2 hours
26,4,2,4,90,62.2,56.6,4th Grade,1-2 hours
27,1,3,2,15,74.5,69.6,1st Grade,Less than 30 min
28,3,2,4,90,78.6,53.8,3rd Grade,1-2 hours
29,3,3,3,45,57.2,74.9,3rd Grade,30-60 minutes
30,0,3,1,0,48.4,50.0,Kindergarten,No homework
31,3,1,2,15,40.6,40.9,3rd Grade,Less than 30 min
32,1,2,2,15,54.2,60.6,1st Grade,Less than 30 min
33,0,2,1,0,22.3,42.4,Kindergarten,No homework
34,5,2,3,45,56.2,85.0,5th Grade,30-60 minutes
35,5,2,4,90,40.0,67.1,5th Grade,1-2 hours
36,4,3,2,15,70.6,62.2,4th Grade,Less than 30 min
37,1,2,1,0,71.7,47.8,1st Grade,No homework
38,0,1,1,0,15.0,41.5,Kindergarten,No homework
39,4,1,3,45,43.0,56.9,4th Grade,30-60 minutes
40,2,2,2,15,46.6,45.5,2nd Grade,Less than 30 min
41,0,2,1,0,36.5,18.7,Kindergarten,No homework
42,2,2,2,15,56.2,62.2,2nd Grade,Less than 30 min
43,0,2,1,0,21.1,37.3,Kindergarten,No homework
44,5,1,3,45,43.8,38.0,5th Grade,30-60 minutes
45,1,1,5,150,39.9,52.7,1st Grade,More than 2 hours
46,3,2,3,45,45.5,41.4,3rd Grade,30-60 minutes
47,1,2,3,45,21.5,33.6,1st Grade,30-60 minutes
48,3,2,3,45,61.7,52.3,3rd Grade,30-60 minutes
49,3,3,3,45,55.5,62.7,3rd Grade,30-60 minutes
50,1,3,1,0,61.1,49.2,1st Grade,No homework
51,5,1,3,45,56.7,64.3,5th Grade,30-60 minutes
52,4,2,3,45,44.4,58.8,4th Grade,30-60 minutes
53,5,2,3,45,78.1,84.6,5th Grade,30-60 minutes
54,5,3,2,15,66.8,71.9,5th Grade,Less than 30 min
55,3,3,1,0,63.2,58.6,3rd Grade,No homework
56,5,1,3,45,68.7,66.2,5th Grade,30-60 minutes
57,0,1,1,0,30.4,43.3,Kindergarten,No homework
58,1,2,4,90,46.5,45.0,1st Grade,1-2 hours
59,0,2,1,0,25.6,33.1,Kindergarten,No homework
60,1,2,2,15,29.0,69.4,1st Grade,Less than 30 min
61,2,1,3,45,41.1,27.9,2nd Grade,30-60 minutes
62,1,2,3,45,43.8,50.8,1st Grade,30-60 minutes
63,4,2,3,45,68.3,79.6,4th Grade,30-60 minutes
64,2,1,1,0,53.9,51.8,2nd Grade,No homework
65,1,1,1,0,48.3,43.4,1st Grade,No homework
66,3,2,3,45,50.3,60.0,3rd Grade,30-60 minutes
67,0,2,1,0,23.1,29.6,Kindergarten,No homework
68,4,2,3,45,76.2,73.9,4th Grade,30-60 minutes
69,0,1,1,0,24.8,39.7,Kindergarten,No homework
70,5,1,5,150,65.3,45.7,5th Grade,More than 2 hours
71,4,2,1,0,43.6,63.9,4th Grade,No homework
72,1,2,2,15,42.0,51.7,1st Grade,Less than 30 min
73,0,1,4,90,49.6,40.0,Kindergarten,1-2 hours
74,4,2,3,45,43.3,53.9,4th Grade,30-60 minutes
75,4,1,3,45,79.2,45.6,4th Grade,30-60 minutes
76,4,1,2,15,46.8,44.5,4th Grade,Less than 30 min
77,4,1,5,150,46.8,59.3,4th Grade,More than 2 hours
78,0,1,1,0,33.3,40.1,Kindergarten,No homework
79,2,2,3,45,62.6,51.1,2nd Grade,30-60 minutes
80,0,2,3,45,36.3,38.9,Kindergarten,30-60 minutes
81,5,3,1,0,59.0,71.9,5th Grade,No homework
82,3,1,3,45,57.1,61.7,3rd Grade,30-60 minutes
