STATE,Year,WUI_Type,%AREA,%HOUSING,AREA_KM,HOUSING
Alabama,1990.0,Interface WUI,0.036323577156982,0.2875724611001455,4931.55701865232,480355.0
Alabama,1990.0,Intermix WUI,0.130995995469528,0.2394564347372662,17784.983513082298,399983.0
Alabama,1990.0,Non-WUI,0.8326804273734898,0.4729711041625882,113050.842656856,790041.0
Alabama,1990.0,WUI (total),0.16731957262651,0.5270288958374117,22716.540531734616,880338.0
Alaska,1990.0,Interface WUI,0.0002141407763853,0.3694111982390975,369.247589858651,85928.0
Alaska,1990.0,Intermix WUI,0.0013097723834671,0.2360322946760214,2258.46895683444,54903.0
Alaska,1990.0,Non-WUI,0.9984760868401474,0.394556507084881,1721693.9941126,91777.0
Alaska,1990.0,WUI (total),0.0015239131598525,0.605443492915119,2627.716546693091,140831.0
All 50 States,1990.0,Interface WUI,0.0129136303350679,0.1776316911444369,,
All 50 States,1990.0,Intermix WUI,0.0463050672820366,0.1204838019115918,,
All 50 States,1990.0,Non-WUI,0.9407813023828954,0.7018845069439713,,
All 50 States,1990.0,WUI (total),0.0592186976171046,0.2981154930560287,,
All 50 states,1990.0,Interface WUI,,,127189.7042691571,18165269.0
All 50 states,1990.0,Intermix WUI,,,456070.65255477966,12321116.0
All 50 states,1990.0,Non-WUI,,,9265999.763605816,71777287.0
All 50 states,1990.0,WUI (total),,,583260.3568239367,30486385.0
Arizona,1990.0,Interface WUI,0.0043745024195463,0.2640509090470824,1291.44004593821,438174.0
Arizona,1990.0,Intermix WUI,0.01549121304443,0.1295444821414582,4573.31393768254,214970.0
Arizona,1990.0,Non-WUI,0.9801342845360236,0.6064046088114594,289355.118376659,1006286.0
Arizona,1990.0,WUI (total),0.0198657154639764,0.3935953911885406,5864.753983620752,653144.0
Arkansas,1990.0,Interface WUI,0.0191792831667566,0.2145638858881126,2642.5739049182203,214707.0
Arkansas,1990.0,Intermix WUI,0.0605321321457751,0.1874859468734354,8340.2821381117,187611.0
Arkansas,1990.0,Non-WUI,0.9202885846874684,0.597950167238452,126799.869304004,598349.0
Arkansas,1990.0,WUI (total),0.0797114153125317,0.402049832761548,10982.85604302992,402318.0
California,1990.0,Interface WUI,0.0179948377085231,0.2714415657788394,7629.18785436209,3035499.0
California,1990.0,Intermix WUI,0.0380707670137159,0.0545956757837559,16140.6864575234,610537.0
California,1990.0,Non-WUI,0.9439343952777608,0.6739627584374046,400195.486084145,7536846.0
California,1990.0,WUI (total),0.0560656047222391,0.3260372415625953,23769.874311885487,3646036.0
Colorado,1990.0,Interface WUI,0.0064262047077514,0.2846598874064286,1732.53396924656,420542.0
Colorado,1990.0,Intermix WUI,0.0158204657313232,0.1045629705641659,4265.26939855443,154476.0
Colorado,1990.0,Non-WUI,0.9777533295609252,0.6107771420294053,263606.737420751,902331.0
Colorado,1990.0,WUI (total),0.0222466704390747,0.3892228579705946,5997.8033678009915,575018.0
Connecticut,1990.0,Interface WUI,0.0859961540695158,0.2596820229397736,1234.74272271852,343001.0
Connecticut,1990.0,Intermix WUI,0.4751199566902863,0.2203906575311352,6821.82726994331,291103.0
Connecticut,1990.0,Non-WUI,0.4388838892401978,0.5199273195290911,6301.54562400172,686746.0
Connecticut,1990.0,WUI (total),0.5611161107598021,0.4800726804709089,8056.56999266183,634104.0
Conterminous U.S.,1990.0,Interface WUI,0.0156038030052057,0.1749096090451619,126336.60626918705,17778032.0
Conterminous U.S.,1990.0,Intermix WUI,0.0559296348659654,0.1201546470491204,452835.77705278125,12212669.0
Conterminous U.S.,1990.0,Non-WUI,0.9284665621288288,0.7049357439057176,7517354.227981598,71650553.0
Conterminous U.S.,1990.0,WUI (total),0.0715334378711712,0.2950642560942823,579172.3833219681,29990701.0
Delaware,1990.0,Interface WUI,0.0386158277067603,0.0412046123227522,248.914206196832,11946.0
Delaware,1990.0,Intermix WUI,0.0734614741258137,0.0596511439402039,473.526157640144,17294.0
Delaware,1990.0,Non-WUI,0.8879226981674258,0.8991442437370438,5723.47109213462,260679.0
Delaware,1990.0,WUI (total),0.1120773018325741,0.1008557562629562,722.440363836976,29240.0
District of Columbia,1990.0,Interface WUI,0.0,0.0,0.0,0.0
District of Columbia,1990.0,Intermix WUI,0.0475358758180789,0.0144314497161467,8.41507969077913,4019.0
District of Columbia,1990.0,Non-WUI,0.9524641241819212,0.9855685502838532,168.61078858151,274470.0
District of Columbia,1990.0,WUI (total),0.0475358758180789,0.0144314497161467,8.41507969077913,4019.0
Florida,1990.0,Interface WUI,0.0244406477577305,0.1363747983283341,4519.91430460218,831922.0
Florida,1990.0,Intermix WUI,0.0714442401628242,0.0816917371745672,13212.4911865825,498341.0
Florida,1990.0,Non-WUI,0.9041151120794452,0.7819334644970986,167201.903509383,4769999.0
Florida,1990.0,WUI (total),0.0958848879205548,0.2180665355029013,17732.40549118468,1330263.0
Georgia,1990.0,Interface WUI,0.0323536582835267,0.187260699403961,4979.389481364859,494072.0
Georgia,1990.0,Intermix WUI,0.1559351132399724,0.2545282817203339,23999.1921728957,671552.0
Georgia,1990.0,Non-WUI,0.8117112284765007,0.558211018875705,124926.40917332,1472794.0
