STATE,Year,WUI_Type,%AREA,AREA_KM,HOUSING
Alabama,1990,Interface WUI,0.036323577156982,4931.55701865232,480355.0
Alabama,1990,Intermix WUI,0.130995995469528,17784.983513082298,399983.0
Alabama,1990,Non-WUI,0.8326804273734898,113050.842656856,790041.0
Alabama,1990,WUI Total,0.16731957262651,22716.540531734616,880338.0
Alabama,2000,Interface WUI,0.0500337604885739,6792.95273261843,608254.0
Alabama,2000,Intermix WUI,0.156681326212668,21272.213654412,461486.0
Alabama,2000,Non-WUI,0.793284913298758,107702.216801561,893971.0
Alabama,2000,WUI Total,0.206715086701242,28065.16638703043,1069740.0
Alabama,2010,Interface WUI,0.0507985319323373,6896.7837502756,688721.0
Alabama,2010,Intermix WUI,0.1723823433903337,23403.899670023,514753.0
Alabama,2010,Non-WUI,0.7768191246773288,105466.699768294,968379.0
Alabama,2010,WUI Total,0.223180875322671,30300.6834202986,1203474.0
Alabama,2020,Interface WUI,0.051528239748219,6995.85427093007,739725.0
Alabama,2020,Intermix WUI,0.1734237232701784,23545.2850912146,531435.0
Alabama,2020,Non-WUI,0.7750480369816025,105226.243826447,1017170.0
Alabama,2020,WUI Total,0.2249519630183974,30541.13936214467,1271160.0
Alaska,1990,Interface WUI,0.0002141407763853,369.247589858651,85928.0
Alaska,1990,Intermix WUI,0.0013097723834671,2258.46895683444,54903.0
Alaska,1990,Non-WUI,0.9984760868401474,1721693.9941126,91777.0
Alaska,1990,WUI Total,0.0015239131598525,2627.716546693091,140831.0
Alaska,2000,Interface WUI,0.0002236230955224,385.598158614188,95266.0
Alaska,2000,Intermix WUI,0.0016752206484067,2888.61933419258,71532.0
Alaska,2000,Non-WUI,0.9981011562560708,1721047.49316649,94180.0
Alaska,2000,WUI Total,0.0018988437439292,3274.217492806768,166798.0
Alaska,2010,Interface WUI,0.0002329086258977,401.609400235332,104991.0
Alaska,2010,Intermix WUI,0.0020184161429527,3480.39877643863,99001.0
Alaska,2010,Non-WUI,0.9977486752311496,1720439.70248262,102975.0
Alaska,2010,WUI Total,0.0022513247688505,3882.0081766739618,203992.0
Alaska,2020,Interface WUI,0.0002316754527768,399.483013049904,108626.0
Alaska,2020,Intermix WUI,0.0021139296782486,3645.09483901121,110693.0
Alaska,2020,Non-WUI,0.9976543948689744,1720277.13280723,106881.0
Alaska,2020,WUI Total,0.0023456051310255,4044.5778520611134,219319.0
All 50 States,1990,Interface WUI,0.0129136303350679,,
All 50 States,1990,Intermix WUI,0.0463050672820366,,
All 50 States,1990,Non-WUI,0.9407813023828954,,
All 50 States,1990,WUI Total,0.0592186976171046,,
All 50 States,2000,Interface WUI,0.0157176156750181,,
All 50 States,2000,Intermix WUI,0.0534350657809456,,
All 50 States,2000,Non-WUI,0.9308473185440362,,
