artist,title,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,genre
Dan + Shay;Justin Bieber,"10,000 Hours (with Justin Bieber)",0.654,0.63,0.0259,0.153,0.0,0.111,0.43,country
Luke Bryan,Country On,0.52,0.751,0.0551,0.171,7.4e-06,0.0624,0.519,country
Thomas Rhett,Die A Happy Man,0.59,0.389,0.0387,0.411,1.48e-06,0.117,0.389,country
Zach Bryan,Something in the Orange,0.369,0.192,0.04,0.555,8.35e-06,0.0954,0.148,country
Zach Bryan,Something in the Orange,0.369,0.192,0.04,0.555,8.35e-06,0.0954,0.148,country
Zach Bryan,Something in the Orange,0.369,0.192,0.04,0.555,8.35e-06,0.0954,0.148,country
Zach Bryan,Something in the Orange,0.369,0.192,0.04,0.555,8.35e-06,0.0954,0.148,country
Zach Bryan,Something in the Orange,0.369,0.192,0.04,0.555,8.35e-06,0.0954,0.148,country
Zach Bryan,Something in the Orange,0.369,0.192,0.04,0.555,8.35e-06,0.0954,0.148,country
Luke Bryan,Country Girl (Shake It For Me),0.644,0.904,0.0464,0.0295,0.0,0.0834,0.672,country
Zach Bryan,Something in the Orange,0.369,0.192,0.04,0.555,8.35e-06,0.0954,0.148,country
Zach Bryan,Something in the Orange,0.369,0.192,0.04,0.555,8.35e-06,0.0954,0.148,country
Thomas Rhett,Slow Down Summer,0.464,0.755,0.0354,0.00838,0.0,0.0989,0.449,country
Zach Bryan,Something in the Orange,0.369,0.192,0.04,0.555,8.35e-06,0.0954,0.148,country
Zach Bryan,Something in the Orange,0.369,0.192,0.04,0.555,8.35e-06,0.0954,0.148,country
Florida Georgia Line,Stay,0.493,0.931,0.041,0.0838,0.0,0.172,0.556,country
Zach Bryan,Oklahoma Smokeshow,0.544,0.573,0.0356,0.0958,0.0,0.104,0.233,country
Zach Bryan,Something in the Orange,0.369,0.192,0.04,0.555,8.35e-06,0.0954,0.148,country
Zach Bryan,Oklahoma Smokeshow,0.544,0.573,0.0356,0.0958,0.0,0.104,0.233,country
Thomas Rhett;HARDY,Put It On Ice,0.554,0.757,0.0355,0.0101,0.0,0.0604,0.629,country
Zach Bryan,November Air,0.429,0.197,0.032,0.774,3.02e-06,0.146,0.197,country
Zach Bryan,Something in the Orange,0.369,0.192,0.04,0.555,8.35e-06,0.0954,0.148,country
